RANK,PLAYER,TEAM,LEAGUE,POS,CAT,AGE,BLURB,ETA,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP,R,HR,RBI,AVG,OBP,SLG,SB,W,ERA,WHIP,K,SV,IP
281,Nick Solak,TEX,AL, 2B/3B/OF,Batter,25.2,Excellent MLB debut; slashing .293/.393/.491 with 5 homers; 2 steals; and a 29/15 K/BB in 33 games. Has been a ground ball hitter throughout his career; but exit velocity and sprint speed are strong.,,79,20,74,0.271,0.339,0.452,10,,,,,,,,,,,,,,,,,,,
282,Brad Hand,CLE,AL, CL,Reliever,30,Velocity down 1.2 MPH to 92.9 MPH and missed most of September with arm fatigue.,,,,,,,,,4,3.22,1.17,93,33,65,,,,,,,,,,,,,
283,Kenley Jansen,LAD,NL, CL,Reliever,32.6,Velocity dropped for the 3rd year in a row to a career low 92.1 MPH and it showed up in the results with a career worst 3.71 ERA.,,,,,,,,,3,3.62,1.09,78,33,63,,,,,,,,,,,,,
284,Craig Kimbrel,CHC,NL, CL,Reliever,31.1,Season was so bad and so out of character with the rest of his career that you almost have to assume it was a complete aberration due to not signing until June.,,,,,,,,,3,3.38,1.09,92,36,65,,,,,,,,,,,,,
285,Jonathan India,CIN,NL, 3B,Batter,23.3,Hasnt gotten to as much of his plus raw power as hoped; hitting only 11 homers in 121 games; but has showed an advanced approach with a good feel to hit and some speed.,2021,,,,,,,,,,,,,,85,24,79,0.272,0.349,0.461,12,,,,,,
286,Mitch Keller,PIT,NL, RHP,Pitcher,24,7.13 ERA in 48 IP MLB debut but it came with a 12.19 K/9 and 3.19 FIP; which makes the debut more encouraging than discouraging. Relies heavily on a 95.4 MPH fastball with a plus slider being his best secondary.,,,,,,,,,10,4.02,1.3,167,0,161,,,,,,,,13,3.77,1.25,191,0,182
287,Jameson Taillon,PIT,NL, RHP,Pitcher,28.4,Underwent Tommy John surgery in August 2019 and is likely to be out for all of 2020.,OUT,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Raisel Iglesias,CIN,NL, CL,Reliever,30.3,I hope you dont play in a league that counts losses because he racked up 12 of them last year! The all-time loss record for a reliever is 16; held byGene Garber.,,,,,,,,,3,3.56,1.19,87,32,69,,,,,,,,,,,,,
289,Keone Kela,PIT,NL, CL,Reliever,27,Inherits the closer job withFelipe Vazquezgone. Kela fires 96.6 MPH heat with a plus curve.,,,,,,,,,3,3.37,1.1,72,30,60,,,,,,,,,,,,,
290,Josiah Gray,LAD,NL, RHP,Pitcher,22.3,Decimated 3 levels of the minors (A; A+; AA) with a plus fastball/slider combo and plus command.,2021,,,,,,,,,,,,,,,,,,,,,14,3.63,1.18,183,0,176
291,Logan Gilbert,SEA,AL, RHP,Pitcher,22.11,Dominated his first year of pro ball just as easily as he did the Atlantic Sun Conference; putting up a pitching line of 2.13/0.95/165/33 in 135 IP split between A; A+; and AA. Relies heavily on his plus fastball but slider; curve; and change all have the potential to develop into quality secondaries.,2021,,,,,,,,,,,,,,,,,,,,,14,3.66,1.21,196,0,185
292,Mike Foltynewicz,ATL,NL,RHP,Pitcher,28.6,Velocity was down and struggled after missing the first month of the season with a sore elbow; leading to a demotion in June. He was much better when he got called back up with a 2.65 ERA and a 55/17 K/BB in final 57.2 IP; although the velocity did not return.,,,,,,,,,11,3.93,1.23,173,0,171,,,,,,,,,,,,,
293,Josh James,HOU,AL, RHP,Pitcher,27.1,The humongous jump in strikeouts in 2018 carried over to 2019 with 100 Ks in 61.1 IP; but it came with some command problems as he walked 35 batters with a 4.70 ERA.Update:Brad Peacocks injury opens up the 5th starter for Josh James. His strikeout upside makes him worth reaching for.,,,,,,,,,8,3.98,1.32,161,0,135,,,,,,,,,,,,,
294,Andrew McCutchen,PIT,NL, OF,Batter,33.5,Underwent surgery to repair a torn ACL in mid June. I would be cautious drafting a 33 year old player coming off such a serious injury; although if he fully recovers the underlying skills were still good in 2019.,,77,23,71,0.251,0.353,0.455,6,,,,,,,,,,,,,,,,,,,
295,Salvador Perez,KC,AL, C,Batter,29.11,Rehabbing from March 2019 Tommy John surgery and is expected to be fully recovered for 2020.,,54,25,77,0.253,0.291,0.455,1,,,,,,,,,,,,,,,,,,,
296,Alex Reyes,STL,NL, RHP,Pitcher,25.7,Just cant stay healthy. This year it was a right pectoral injury. Fastball did clock in at 97.2 MPH so if he can stay healthy for a few seasons; a late 20s breakout is still in the cards.,,,,,,,,,5,4.29,1.35,88,0,81,,,,,,,,,,,,,
297,Archie Bradley,ARI,NL, CL,Reliever,27.8,K/9 and BB/9 both reached career highs at 10.9 and 4.5. Announced that he wont be handed the closer job; but he is the heavy favorite to win it.,,,,,,,,,3,3.58,1.25,82,32,69,,,,,,,,,,,,,
298,Hansel Robles,LAA,AL, CL,Reliever,29.7,Career high 97.4 MPH fastball. Changeup usage jumped up 19.3% to 23% and it paid off with a 6.4 pitch value.,,,,,,,,,3,3.42,1.18,71,32,68,,,,,,,,,,,,,
299,Kyle Seager,SEA,AL, 3B,Batter,32.5,Hand surgery delayed the start to his season; but he ripped it up once he got going; slashing .281/.367/.575 with 17 homers and 44/27 K/BB in final 60 games.,,74,27,85,0.253,0.328,0.455,3,,,,,,,,,,,,,,,,,,,
300,Ian Happ,CHC,NL, OF,Batter,25.8,Fell out of favor and didnt get his first MLB at-bat until late July. Strikeout rate dropping 11.1% to 25% will hopefully give Chicago more faith in him in 2020.,,68,25,76,0.252,0.334,0.481,6,,,,,,,,,,,,,,,,,,,
301,Sean Murphy,OAK,AL, C,Batter,25.6,Its a small sample but he knocked 4 homers with a 90.7 MPH exit velocity and 96.6 MPH FB/LD exit velocity in his 20 game MLB debut. This after hitting 10 homes in 31 games at Triple-A. If he can raise his launch angle a bit; and with his already strong plate approach; Murphy has the potential to be one of the better hitting catchers in baseball.,,56,18,52,0.255,0.338,0.441,0,,,,,,,73,24,82,0.268,0.357,0.468,1,,,,,,
302,Maikel Franco,KC,AL, 3B,Batter,27.7,Will be handed the everyday 3B job. The talent is still there to breakout with strong contact numbers (14.3% K%) and exit velocity (89 MPH). BB% (8.4%) and launch angle (14.9 degrees) both hit career highs.,,65,23,77,0.262,0.328,0.465,0,,,,,,,,,,,,,,,,,,,
303,Anthony DeSclafani,CIN,NL, RHP,Pitcher,30,Velocity has slowly ticked up every year of his career to a now career high 94.9 MPH.,,,,,,,,,10,3.95,1.25,169,0,171,,,,,,,,,,,,,
304,Sandy Alcantara,MIA,NL, RHP,Pitcher,24.7,151 Ks in 197.1 IP isnt pretty; but he was better in the 2nd half; striking out 86 in final 101.2 IP. Electric mid 90s stuff is easy to buy into.,,,,,,,,,7,4.03,1.33,162,0,184,,,,,,,,,,,,,
305,Masahiro Tanaka,NYY,AL, RHP,Pitcher,31.5,Strikeouts fell off a cliff with only 149 in 182 IP. His ERAs were already relatively inflated since 2017; which leaves not much to be excited about for 2020.,,,,,,,,,12,4.28,1.25,161,0,175,,,,,,,,,,,,,
306,Chris Archer,PIT,NL, RHP,Pitcher,31.6,From bad to worse. Velocity down about 1 MPH on his fastball and sinker; ERA bloated to 5.19; and was shut down after 23 starts with shoulder inflammation.,,,,,,,,,9,4.35,1.36,184,0,165,,,,,,,,,,,,,
307,Aaron Civale,CLE,AL, RHP,Pitcher,24.1,Former 3rd round pick in 2016; Civale had a strong MLB debut with a 2.34 ERA in 57.2 IP. While his strikeout numbers didnt pop (7.18 K/9); he has plus control and he induced tons of weak contact with a below average 86.6 MPH average exit velocity against and 90.3 MPH FB/LD exit velocity against.,,,,,,,,,9,4.13,1.3,136,0,155,,,,,,,,,,,,,
308,Luke Voit,NYY,AL, 1B,Batter,29.2,Playing time is no guarantee withMiguel AndujarandMike Fordin the mix at 1B. Underwent sports hernia surgery in October to repair the injury that limited him to 118 games.,,73,23,75,0.255,0.351,0.477,0,,,,,,,,,,,,,,,,,,,
309,Kolten Wong,STL,NL, 2B,Batter,29.6,Got back to running with 24 steals after stealing 7; 8; and 6 in the previous 3 years.,,71,10,63,0.275,0.348,0.418,15,,,,,,,,,,,,,,,,,,,
310,Christian Walker,ARI,NL, 1B,Batter,29,Quad-A slugger who got his shot in the majors and capitalized on it; slashing .259/.348/.476 with 29 homers and a 155/67 K/BB in 152 games. Nothing looks like a fluke; but righthanded; poor defensive sluggers always seem to be fighting for their job (see;Jesus Aguilar).,,77,26,79,0.252,0.33,0.471,3,,,,,,,,,,,,,,,,,,,
311,Jesus Aguilar,MIA,NL, 1B,Batter,29.9,Lost his job in 2019 with a down year; but he actually dropped his K% 3.2% to 22% and upped BB% 1.7% to 11.7%; all while still hitting the ball very hard. Should see close to everyday at-bats at 1B for Miami.,,68,28,83,0.258,0.332,0.472,0,,,,,,,,,,,,,,,,,,,
312,C.J. Cron,DET,AL, 1B,Batter,30.3,Detroit will be his 4th team in 4 years. Its hard out there for a righty slugger who is poor defensively,,63,26,78,0.257,0.32,0.475,0,,,,,,,,,,,,,,,,,,,
313,Miles Mikolas,STL,NL, RHP,Pitcher,31.7,Lack of strikeouts caught up with him as his 2.83 ERA in 2018 became a 4.16 ERA in 2019. Maintained his plus control and relatively low WHIP (1.22).Update:Received a platelet enriched plasma injection for his elbow which should keep him out for up to a month into the season.,,,,,,,,,10,3.86,1.21,138,0,160,,,,,,,,,,,,,
314,Garrett Richards,SD,NL, RHP,Pitcher,31.11,Returned in September coming off Tommy John surgery to show the mid 90s velocity is back. Great late round flyer,,,,,,,,,6,3.93,1.3,133,0,129,,,,,,,,,,,,,
315,Mallex Smith,SEA,AL, OF,Batter,26.11,Billy Hamilton2.0 with a bit more upside and power.,,73,8,48,0.264,0.339,0.387,39,,,,,,,,,,,,,,,,,,,
316,Aaron Hicks,NYY,AL, OF,Batter,30.6,Underwent Tommy John surgery in late October and is expected to miss 8-10 months; which puts him on pace to return sometime in the 2nd half at best. Anything Hicks is able to give you in 2020 should be considered icing on the cake.,,28,8,25,0.241,0.336,0.459,3,,,,,,,,,,,,,,,,,,,
317,Jurickson Profar,SD,NL, 2B,Batter,27.1,The Profar revival was short lived; but the biggest difference between 2020 and 2019 was a 51 point drop in BABIP (.218). He seems to have a lock on the SD starting 2B job.,,76,20,73,0.261,0.338,0.447,7,,,,,,,,,,,,,,,,,,,
318,Hector Neris,PHI,NL, CL,Reliever,30.1,2nd most valuable splitter in baseball behind onlyKirby Yates.,,,,,,,,,3,3.73,1.2,86,31,66,,,,,,,,,,,,,
319,Francisco Mejia,SD,NL, C,Batter,24.5,Flipped hitting profile by raising his launch angle 10.3 degrees to 19.1. Hes always had a good feel to hit; so if he can gain strength as he enters his mid-20s; a major power breakout might be around the corner.,,51,17,59,0.268,0.321,0.447,1,,,,,,,68,25,81,0.274,0.333,0.469,2,,,,,,
320,Tommy La Stella,LAA,AL, 2B/3B,Batter,31.2,Career best 8.7% K% and 16 homers. Fractured right tibia limited him to only 80 games. With below average to average exit velocities; I wouldnt bet on him maintaining that power over a full season.,,83,22,74,0.286,0.341,0.462,0,,,,,,,,,,,,,,,,,,,
321,Dylan Bundy,LAA,AL, RHP,Pitcher,27.4,Ballpark upgrade moving from Camden to Angel Stadium. Exit velocity against down 1 MPH to 87.7 MPH and launch angle down 3.1 degrees to 13.7. Bundys got a shot at being useful this season with breakout potential.,,,,,,,,,9,4.31,1.34,171,0,165,,,,,,,,,,,,,
322,Cesar Hernandez,CLE,AL, 2B,Batter,29.11,Moderate power/speed combo whose value is heavily dictated based on where he is hitting in the order.,,78,13,69,0.272,0.342,0.395,14,,,,,,,,,,,,,,,,,,,
323,Corey Dickerson,MIA,NL, OF,Batter,30.1,Broken foot ended his season in September. Lifts the ball with a good feel to hit.,,76,22,75,0.282,0.323,0.478,3,,,,,,,,,,,,,,,,,,,
324,Luis Arraez,MIN,NL, 2B/OF,Batter,23,Elite contact numbers (7.9% K%) and not much else. Should grow into at least a little more power considering his age.,,82,8,54,0.302,0.359,0.412,5,,,,,,,,,,,,,,,,,,,
325,Randal Grichuk,TOR,AL,OF,Batter,28.8,Above average but not elite exit velocity power hitter with poor K/BB rates.,,71,28,78,0.237,0.295,0.467,3,,,,,,,,,,,,,,,,,,,
326,Christin Stewart,DET,AL, OF,Batter,26.4,Dont put Stewart to bed quite yet. Solid plate approach and hits it in the air. Exit velocity has been low but there is definitely more in the tank there.,,68,25,78,0.249,0.329,0.448,0,,,,,,,,,,,,,,,,,,,
327,Austin Hays,BAL,AL, OF,Batter,24.9,Strong September in the majors (.947 OPS in 75 PA); although his minor league numbers werent as strong (.758 OPS at Triple-A). Inside track to win the Orioles opening day starting CF job.,,78,24,75,0.265,0.312,0.456,10,,,,,,,,,,,,,,,,,,,
328,Josh Rojas,ARI,NL, OF,Batter,25.9,Power breakout at Double-A and Triple-A was backed up by excellent MLB exit velocity (95.5 MPH FB/LD). Tack on above average speed and good plate approach; and Rojas is an excellent late round pick if he can work his way into everyday playing time.,,61,15,56,0.26,0.336,0.449,12,,,,,,,,,,,,,,,,,,,
329,Simeon Woods Richardson,TOR,AL, RHP,Pitcher,19.6,Impressive 18-year-old season in Full-A and High-A with a 126/24 K/BB in 106.2 IP. He displayed an advanced four pitch mix headlined by a plus fastball/slider combo.,2022,,,,,,,,,,,,,,,,,,,,,14,3.64,1.16,198,0,183
330,Oneil Cruz,PIT,NL, SS,Batter,21.6,Fly ball percentage jumped up 8.9% to 38.1% after his promotion to Double-A. If he can maintain those gains; the double plus raw power will definitely start to shine through.,2021,,,,,,,,,,,,,,78,28,86,0.252,0.323,0.474,9,,,,,,
331,Brandon Marsh,LAA,AL, OF,Batter,22.4,Lowered strikeout rate to 22.3% at Double-A (27.7% at High-A in 2018); which is very encouraging. Next step is hitting fewer ground balls (52.6%).,SEPT,12,2,9,0.252,0.327,0.413,3,,,,,,,83,22,78,0.271,0.35,0.457,16,,,,,,
332,Greg Jones,TB,AL, SS,Batter,22.1,Drafted 22nd overall; Jones is a great athlete with double plus speed and developing power. Hes had strikeout issues in his career (25.7% at Short-A); but the upside is considerable.,2022,,,,,,,,,,,,,,86,16,62,0.268,0.349,0.421,32,,,,,,
333,Edward Cabrera,MIA,NL, RHP,Pitcher,22,Much improved secondaries and control combined with his electric mid 90s fastball made Cabrera one of the biggest pitching breakouts in the minors; posting a pitching line of 2.23/0.99/116/31 in 96.2 IP split between High-A and Double-A.,2021,,,,,,,,,,,,,,,,,,,,,13,3.76,1.23,191,0,182
334,Brent Honeywell,TB,AL, RHP,Pitcher,25,Had surgery in June to repair a fractured right elbow which he suffered while rehabbing from 2017 Tommy John surgery. Its a reminder not to just assume a pitcher will return seamlessly from Tommy John.,AUG,,,,,,,,2,4.31,1.34,46,0,40,,,,,,,,11,3.71,1.22,175,0,163
335,Travis Shaw,TOR,AL, 3B,Batter,29.11,Toronto is a good landing spot for a bounce back season after bottoming out in 2019 with a 33% K% and .157 BA. Dominating at Triple-A (1.023 OPS) at least shows he hasnt completely forgot how to hit.,,70,25,80,0.239,0.336,0.46,4,,,,,,,,,,,,,,,,,,,
336,Jonathan Schoop,DET,AL, 2B,Batter,28.6,Exit velocity bounced back after a down 2018; but it still sat at a below average 87.5 MPH. 25% K% and 4.3% BB% are two other reasons to be hesitant on Schoop even with a full time job in Detroit.,,68,25,79,0.261,0.304,0.456,1,,,,,,,,,,,,,,,,,,,
337,Matthew Liberatore,STL,NL, LHP,Pitcher,20.5,Strong full season debut with a 3.10 ERA; 1.29 WHIP; and 76/31 K/BB in 78.1 IP. Advanced for his age with a 4 pitch mix and plus command.,2022,,,,,,,,,,,,,,,,,,,,,13,3.72,1.21,182,0,175
338,Deivi Garcia,NYY,AL, RHP,Pitcher,20.1,Added a slider this year to give him a chance at 4 plus pitches at peak. At 59ù; 163 pounds; how much you buy into Garcia might depend on how much you buy into the prejudice against small righties.,AUG,,,,,,,,3,4.15,1.33,57,0,51,,,,,,,,13,3.78,1.27,193,0,177
339,Robert Puason,OAK,AL, SS,Batter,17.5,Signed for $5.1 million; Pauson is a projectable 63ù; 165 pounds with plus speed; a good feel to hit and developing power.,2024,,,,,,,,,,,,,,88,23,82,0.275,0.346,0.462,26,,,,,,
340,Joey Votto,CIN,NL, 1B,Batter,36.7,K% spiked 4% to 20.2% and BB% cratered 4.8% to 12.5%. Power decline from 2018 carried over into 2019.,,84,20,81,0.273,0.376,0.449,3,,,,,,,,,,,,,,,,,,,
341,David Peralta,ARI,NL, OF,Batter,32.8,Unsurprisingly wasnt able to match his 2018 power output with over 50% groundball rates.,,78,21,83,0.28,0.343,0.473,3,,,,,,,,,,,,,,,,,,,
342,Kole Calhoun,ARI,NL, OF,Batter,32.6,Power is legit with a career high 33 homers and very strong underlying power numbers. Should see close to everyday at-bats in Arizona.,,77,26,75,0.243,0.328,0.472,4,,,,,,,,,,,,,,,,,,,
343,Sean Doolittle,WAS,NL, CL,Reliever,33.6,Managed to pitch 60 innings for the first time since 2014; but batters started to crush him with a 90.1 MPH average exit velocity against (up 6.8 MPH from 2018).,,,,,,,,,4,3.58,1.1,62,27,55,,,,,,,,,,,,,
344,Domingo Santana,CLE,AL, OF,Batter,27.8,32.3% K% and poor defense keeps his playing time a question mark; but his power and willingness to run makes him an impact fantasy player if he can get the at-bats.,,61,22,66,0.258,0.334,0.45,5,,,,,,,,,,,,,,,,,,,
345,Jordan Yamamoto,MIA,NL, RHP,Pitcher,23.11,6 pitch mix with his fastball; cutter; and slider all grading out as plus value pitches. Hes pitched well throughout his minor league career; gets strikeouts; and has good command. I would take a flyer on him everywhere.,,,,,,,,,6,4.25,1.24,158,0,155,,,,,,,,,,,,,
346,KeBryan Hayes,PIT,NL, 3B,Batter,23.2,Hasnt made any attempts to unlock more power; but has maintained his strong plate approach; good feel to hit; and ability to use the entire field at every minor league level. Plus glove at 3B will buy him time until the power ticks up.,JULY,39,9,32,0.253,0.317,0.406,6,,,,,,,88,22,79,0.276,0.348,0.46,13,,,,,,
347,Daniel Lynch,KC,AL, LHP,Pitcher,23.4,66ù; 190 pounds with a 4 pitch mix headlined by a plus fastball/slider combo and good control.,2021,,,,,,,,,,,,,,,,,,,,,12,3.81,1.24,179,0,171
348,DL Hall,BAL,AL, LHP,Pitcher,21.6,Plus fastball/curve combo with a developing slider and changeup. Control needs to take a step forward with a 6.0 BB/9 at High-A.,2021,,,,,,,,,,,,,,,,,,,,,12,3.76,1.32,187,0,174
349,Stephen Piscotty,OAK,AL, OF,Batter,29.2,Solid all around hitter but hes not a difference maker.,,73,22,78,0.265,0.336,0.456,2,,,,,,,,,,,,,,,,,,,
350,Jose Leclerc,TEX,AL, CL,Reliever,26.3,Lost his closer job in May before regaining it in August. Career long control problems reared its ugly head; which makes him a very volatile closer option despite elite strikeout stuff.,,,,,,,,,2,3.68,1.24,92,28,63,,,,,,,,,,,,,
351,Steven Matz,NYM,NL, LHP,Pitcher,28.1,Health was the biggest concern as a prospect; but he just posted his second straight 30 start season. Throws 4 pitches that have hovered around even value his entire career.,,,,,,,,,10,4.29,1.3,161,0,165,,,,,,,,,,,,,
352,Michael Pineda,MIN,NL, RHP,Pitcher,31.3,Proved he was fully healthy from Tommy John surgery; getting back to pounding the strikezone with 3 pitches. Will miss the first 39 games of the season as a carryover from his 60-game PED suspension in September.,,,,,,,,,8,4.09,1.22,131,0,135,,,,,,,,,,,,,
